time,cash,RU01
2018-04-10 09:00:00,500000.0,0.0
2018-04-10 09:00:01,500000.0,0.0
2018-04-10 09:00:03,500000.0,0.0
2018-04-10 09:00:04,500000.0,0.0
2018-04-10 09:00:05,500000.0,0.0
2018-04-10 09:00:05,500000.0,0.0
2018-04-10 09:00:08,500000.0,0.0
2018-04-10 09:00:15,500000.0,0.0
2018-04-10 09:00:21,500000.0,0.0
2018-04-10 09:00:30,500000.0,0.0
2018-04-10 09:00:30,500000.0,0.0
2018-04-10 09:00:32,500000.0,0.0
2018-04-10 09:00:32,500000.0,0.0
2018-04-10 09:00:48,500000.0,0.0
2018-04-10 09:00:53,500000.0,0.0
2018-04-10 09:00:55,500000.0,0.0
2018-04-10 09:00:57,500000.0,0.0
2018-04-10 09:00:58,500000.0,0.0
2018-04-10 09:01:02,500000.0,0.0
2018-04-10 09:01:02,500000.0,0.0
2018-04-10 09:01:04,500000.0,0.0
2018-04-10 09:01:05,500000.0,0.0
2018-04-10 09:01:06,500000.0,0.0
2018-04-10 09:01:06,500000.0,0.0
2018-04-10 09:01:09,500000.0,0.0
2018-04-10 09:01:18,500000.0,0.0
2018-04-10 09:01:19,500000.0,0.0
2018-04-10 09:01:21,500000.0,0.0
2018-04-10 09:01:21,500000.0,0.0
2018-04-10 09:01:28,500000.0,0.0
2018-04-10 09:01:36,500000.0,0.0
2018-04-10 09:01:37,500000.0,0.0
2018-04-10 09:01:49,500000.0,0.0
2018-04-10 09:02:01,500000.0,0.0
2018-04-10 09:02:08,500000.0,0.0
2018-04-10 09:02:16,500000.0,0.0
2018-04-10 09:02:19,500000.0,0.0
2018-04-10 09:02:35,500000.0,0.0
2018-04-10 09:02:36,500000.0,0.0
2018-04-10 09:02:51,500000.0,0.0
2018-04-10 09:02:54,500000.0,0.0
2018-04-10 09:02:59,500000.0,0.0
2018-04-10 09:03:07,500000.0,0.0
2018-04-10 09:03:11,500000.0,0.0
2018-04-10 09:03:18,500000.0,0.0
2018-04-10 09:03:21,500000.0,0.0
2018-04-10 09:03:37,500000.0,0.0
2018-04-10 09:03:38,500000.0,0.0
2018-04-10 09:03:40,500000.0,0.0
2018-04-10 09:03:42,500000.0,0.0
2018-04-10 09:03:49,500000.0,0.0
2018-04-10 09:03:54,500000.0,0.0
2018-04-10 09:03:55,500000.0,0.0
2018-04-10 09:03:55,500000.0,0.0
2018-04-10 09:03:59,500000.0,0.0
2018-04-10 09:03:59,500000.0,0.0
2018-04-10 09:04:04,500000.0,0.0
2018-04-10 09:04:11,500000.0,0.0
2018-04-10 09:04:12,500000.0,0.0
2018-04-10 09:04:16,500000.0,0.0
2018-04-10 09:04:20,500000.0,0.0
2018-04-10 09:04:28,500000.0,0.0
2018-04-10 09:04:28,500000.0,0.0
2018-04-10 09:04:43,500000.0,0.0
2018-04-10 09:04:49,500000.0,0.0
2018-04-10 09:04:49,500000.0,0.0
2018-04-10 09:05:03,500000.0,0.0
