2018-08-23 00:18:39.310 @IC1903|00:18:39.310|3|4680.000000|277|1|4673.200000|1|4688.800000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:18:57.818 @IC1903|00:18:57.818|3|4680.000000|277|1|4675.600000|1|4688.800000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:01.821 @IC1903|00:19:01.821|3|4680.000000|277|1|4675.600000|1|4688.800000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:03.315 @IC1903|00:19:03.315|3|4680.000000|277|1|4675.800000|1|4688.800000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:07.819 @IC1903|00:19:07.818|3|4680.000000|277|1|4675.800000|1|4688.800000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:12.809 @IC1903|00:19:12.809|3|4680.000000|277|1|4675.800000|1|4688.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:13.304 @IC1903|00:19:13.303|3|4680.000000|277|1|4676.600000|1|4688.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:16.300 @IC1903|00:19:16.300|3|4680.000000|277|1|4676.600000|1|4688.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:23.320 @IC1903|00:19:23.320|3|4680.000000|277|1|4676.600000|1|4688.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:28.314 @IC1903|00:19:28.314|3|4680.000000|277|1|4676.600000|1|4688.000000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:29.323 @IC1903|00:19:29.323|3|4680.000000|277|1|4676.600000|1|4686.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:29.812 @IC1903|00:19:29.812|3|4680.000000|277|1|4676.600000|1|4686.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:30.315 @IC1903|00:19:30.315|3|4680.000000|277|1|4676.600000|1|4686.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:30.818 @IC1903|00:19:30.818|3|4680.000000|277|1|4676.600000|1|4685.600000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:31.800 @IC1903|00:19:31.800|3|4680.000000|277|1|4676.600000|1|4685.600000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:32.309 @IC1903|00:19:32.309|3|4680.000000|277|1|4676.600000|1|4684.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:33.806 @IC1903|00:19:33.806|3|4680.000000|277|1|4676.600000|1|4683.800000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1485|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:34.304 @IC1903|00:19:34.304|3|4676.600000|278|1|4675.600000|1|4683.800000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1486|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:35.305 @IC1903|00:19:35.305|3|4676.600000|278|1|4675.600000|1|4684.400000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1486|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:35.816 @IC1903|00:19:35.816|3|4676.600000|278|1|4675.600000|1|4690.000000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1486|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:36.317 @IC1903|00:19:36.317|3|4676.600000|278|1|4675.600000|1|4686.800000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1486|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:36.830 @IC1903|00:19:36.830|3|4676.600000|278|1|4675.600000|1|4680.000000|2|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1486|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:37.306 @IC1903|00:19:37.306|3|4676.600000|278|1|4675.600000|1|4680.000000|2|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1486|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:19:38.808 @IC1903|00:19:38.808|3|4676.600000|278|1|4675.600000|1|4680.000000|2|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1486|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 00:20:00.303 @IC1903|00:20:00.302|3|4676.600000|278|1|4675.600000|1|4680.000000|2|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|1486|4622.000000|4725.000000|4611.000000|4635.000000|5081.600000|4158.000000
2018-08-23 21:06:24.407 @SHFE F NI 1901|2018-08-23 21:06:24|3|109900.000000|4060|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
2018-08-23 21:06:25.171 @SHFE F NI 1901|2018-08-23 21:06:25.622|3|109900.000000|8|5|109890.000000|5|109910.000000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|96226|109800.000000|112280.000000|109610.000000|109800.000000|117870.000000|104520.000000
2018-08-23 21:06:25.672 @SHFE F NI 1901|2018-08-23 21:06:26.127|3|109880.000000|18|5|109870.000000|1|109900.000000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|96226|109800.000000|112280.000000|109610.000000|109800.000000|117870.000000|104520.000000
2018-08-23 21:06:26.191 @SHFE F NI 1901|2018-08-23 21:06:26.640|3|109880.000000|18|5|109860.000000|3|109890.000000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|96226|109800.000000|112280.000000|109610.000000|109800.000000|117870.000000|104520.000000
2018-08-23 21:06:26.702 @SHFE F NI 1901|2018-08-23 21:06:27.154|3|109880.000000|18|5|109860.000000|3|109880.000000|1|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|0.000000|0|96226|109800.000000|112280.000000|109610.000000|109800.000000|117870.000000|104520.000000
