index,date,open,close,high,low,vol
0,2018-03-30 21:00:00,13700.0,13665.0,13720.0,13640.0,1250
1,2018-03-30 22:00:00,13665.0,13680.0,13700.0,13640.0,1080
2,2018-04-02 09:00:00,13700.0,13605.0,13745.0,13565.0,3446
3,2018-04-02 10:00:00,13610.0,13620.0,13630.0,13585.0,1276
4,2018-04-02 11:00:00,13625.0,13675.0,13700.0,13625.0,904
5,2018-04-02 13:00:00,13675.0,13640.0,13680.0,13620.0,554
6,2018-04-02 14:00:00,13640.0,13695.0,13710.0,13635.0,1586
7,2018-04-02 21:00:00,13695.0,13685.0,13750.0,13660.0,1570
8,2018-04-02 22:00:00,13675.0,13695.0,13725.0,13640.0,1016
9,2018-04-03 09:00:00,13675.0,13620.0,13675.0,13465.0,6324
10,2018-04-03 10:00:00,13620.0,13615.0,13635.0,13560.0,1582
11,2018-04-03 11:00:00,13615.0,13580.0,13615.0,13540.0,1444
12,2018-04-03 13:00:00,13580.0,13525.0,13580.0,13500.0,1684
13,2018-04-03 14:00:00,13525.0,13510.0,13555.0,13510.0,1458
14,2018-04-03 21:00:00,13530.0,13495.0,13540.0,13475.0,2716
15,2018-04-03 22:00:00,13495.0,13510.0,13535.0,13480.0,1214
16,2018-04-04 09:00:00,13520.0,13510.0,13550.0,13455.0,2704
17,2018-04-04 10:00:00,13510.0,13505.0,13530.0,13495.0,1232
18,2018-04-04 11:00:00,13505.0,13495.0,13520.0,13490.0,526
19,2018-04-04 13:00:00,13490.0,13455.0,13495.0,13440.0,1178
20,2018-04-04 14:00:00,13455.0,13415.0,13455.0,13380.0,2796
21,2018-04-09 09:00:00,13480.0,13480.0,13575.0,13435.0,5152
22,2018-04-09 10:00:00,13485.0,13480.0,13495.0,13440.0,2430
23,2018-04-09 11:00:00,13480.0,13490.0,13500.0,13465.0,544
24,2018-04-09 13:00:00,13495.0,13505.0,13520.0,13490.0,862
25,2018-04-09 14:00:00,13505.0,13510.0,13530.0,13480.0,1344
26,2018-04-09 21:00:00,13525.0,13515.0,13565.0,13490.0,2146
27,2018-04-09 22:00:00,13515.0,13530.0,13545.0,13515.0,670
28,2018-04-10 09:00:00,13525.0,13615.0,13700.0,13515.0,4602
29,2018-04-10 10:00:00,13615.0,13635.0,13655.0,13600.0,1680
30,2018-04-10 11:00:00,13640.0,13630.0,13645.0,13605.0,530
31,2018-04-10 13:00:00,13625.0,13655.0,13660.0,13615.0,752
32,2018-04-10 14:00:00,13655.0,13650.0,13690.0,13620.0,1946
33,2018-04-10 21:00:00,13655.0,13620.0,13660.0,13600.0,2452
34,2018-04-10 22:00:00,13630.0,13635.0,13660.0,13620.0,728
35,2018-04-11 09:00:00,13635.0,13575.0,13705.0,13550.0,3154
36,2018-04-11 10:00:00,13570.0,13575.0,13600.0,13565.0,682
37,2018-04-11 11:00:00,13575.0,13570.0,13590.0,13560.0,380
38,2018-04-11 13:00:00,13565.0,13490.0,13585.0,13465.0,2292
39,2018-04-11 14:00:00,13490.0,13525.0,13530.0,13470.0,1622
40,2018-04-11 21:00:00,13535.0,13560.0,13590.0,13500.0,3066
41,2018-04-11 22:00:00,13560.0,13600.0,13605.0,13555.0,842
42,2018-04-12 09:00:00,13560.0,13460.0,13610.0,13410.0,4248
43,2018-04-12 10:00:00,13465.0,13590.0,13610.0,13430.0,3788
44,2018-04-12 11:00:00,13590.0,13585.0,13615.0,13565.0,1086
45,2018-04-12 13:00:00,13575.0,13575.0,13600.0,13550.0,1094
46,2018-04-12 14:00:00,13565.0,13545.0,13580.0,13530.0,1690
47,2018-04-12 21:00:00,13520.0,13565.0,13580.0,13500.0,2502
48,2018-04-12 22:00:00,13570.0,13525.0,13580.0,13505.0,1450
49,2018-04-13 09:00:00,13525.0,13595.0,13650.0,13520.0,2964
50,2018-04-13 10:00:00,13600.0,13595.0,13615.0,13560.0,1248
51,2018-04-13 11:00:00,13595.0,13595.0,13615.0,13565.0,1144
52,2018-04-13 13:00:00,13605.0,13585.0,13625.0,13575.0,1172
53,2018-04-13 14:00:00,13590.0,13590.0,13600.0,13570.0,1348
54,2018-04-13 21:00:00,13585.0,13550.0,13630.0,13500.0,2800
55,2018-04-13 22:00:00,13550.0,13495.0,13570.0,13490.0,1968
56,2018-04-16 09:00:00,13495.0,13390.0,13515.0,13305.0,6152
57,2018-04-16 10:00:00,13380.0,13370.0,13425.0,13350.0,1144
58,2018-04-16 11:00:00,13365.0,13170.0,13375.0,13150.0,4170
59,2018-04-16 13:00:00,13165.0,13200.0,13215.0,13105.0,3202
60,2018-04-16 14:00:00,13205.0,13215.0,13235.0,13180.0,1992
61,2018-04-16 21:00:00,13200.0,13180.0,13285.0,13155.0,3694
62,2018-04-16 22:00:00,13185.0,13170.0,13215.0,13155.0,1774
63,2018-04-17 09:00:00,13170.0,13205.0,13220.0,13110.0,3378
64,2018-04-17 10:00:00,13205.0,13210.0,13245.0,13190.0,1908
65,2018-04-17 11:00:00,13210.0,13205.0,13225.0,13190.0,960
66,2018-04-17 13:00:00,13200.0,13150.0,13200.0,13135.0,952
67,2018-04-17 14:00:00,13150.0,13145.0,13175.0,13125.0,1854
68,2018-04-17 21:00:00,13185.0,13245.0,13295.0,13170.0,3872
69,2018-04-17 22:00:00,13245.0,13220.0,13255.0,13190.0,1442
70,2018-04-18 09:00:00,13250.0,13230.0,13280.0,13215.0,2620
71,2018-04-18 10:00:00,13230.0,13220.0,13245.0,13200.0,962
72,2018-04-18 11:00:00,13220.0,13190.0,13225.0,13160.0,914
73,2018-04-18 13:00:00,13200.0,13235.0,13260.0,13200.0,1136
74,2018-04-18 14:00:00,13235.0,13235.0,13240.0,13210.0,2026
75,2018-04-18 21:00:00,13285.0,13345.0,13450.0,13285.0,7418
76,2018-04-18 22:00:00,13345.0,13380.0,13385.0,13335.0,1448
77,2018-04-19 09:00:00,13385.0,13385.0,13425.0,13350.0,4692
78,2018-04-19 10:00:00,13390.0,13385.0,13440.0,13375.0,2716
79,2018-04-19 11:00:00,13385.0,13655.0,13660.0,13380.0,7932
80,2018-04-19 13:00:00,13665.0,13755.0,13850.0,13665.0,11636
81,2018-04-19 14:00:00,13760.0,13800.0,13835.0,13755.0,4882
82,2018-04-19 21:00:00,13765.0,13765.0,13805.0,13675.0,6536
83,2018-04-19 22:00:00,13760.0,13785.0,13795.0,13725.0,1878
84,2018-04-20 09:00:00,13785.0,13690.0,13785.0,13640.0,5012
85,2018-04-20 10:00:00,13690.0,13625.0,13725.0,13625.0,1658
86,2018-04-20 11:00:00,13635.0,13565.0,13690.0,13565.0,2008
87,2018-04-20 13:00:00,13565.0,13545.0,13585.0,13495.0,5412
88,2018-04-20 14:00:00,13540.0,13515.0,13550.0,13450.0,7918
89,2018-04-20 21:00:00,13485.0,13510.0,13550.0,13455.0,4362
90,2018-04-20 22:00:00,13505.0,13505.0,13545.0,13480.0,2646
91,2018-04-23 09:00:00,13520.0,13575.0,13665.0,13520.0,9474
92,2018-04-23 10:00:00,13580.0,13590.0,13615.0,13560.0,1776
93,2018-04-23 11:00:00,13595.0,13650.0,13670.0,13590.0,2318
94,2018-04-23 13:00:00,13655.0,13635.0,13695.0,13630.0,2866
95,2018-04-23 14:00:00,13640.0,13535.0,13675.0,13500.0,10676
96,2018-04-23 21:00:00,13450.0,13430.0,13460.0,13270.0,6196
97,2018-04-23 22:00:00,13430.0,13415.0,13460.0,13335.0,5624
98,2018-04-24 09:00:00,13425.0,13445.0,13475.0,13405.0,4082
99,2018-04-24 10:00:00,13450.0,13470.0,13520.0,13435.0,2834
100,2018-04-24 11:00:00,13470.0,13470.0,13480.0,13440.0,862
101,2018-04-24 13:00:00,13480.0,13480.0,13535.0,13465.0,1922
102,2018-04-24 14:00:00,13480.0,13420.0,13485.0,13395.0,3570
103,2018-04-24 21:00:00,13450.0,13500.0,13500.0,13425.0,3040
104,2018-04-24 22:00:00,13500.0,13515.0,13520.0,13475.0,2684
105,2018-04-25 09:00:00,13520.0,13475.0,13520.0,13410.0,4686
106,2018-04-25 10:00:00,13470.0,13480.0,13495.0,13455.0,1820
107,2018-04-25 11:00:00,13475.0,13550.0,13550.0,13470.0,1860
108,2018-04-25 13:00:00,13555.0,13545.0,13610.0,13530.0,3364
109,2018-04-25 14:00:00,13540.0,13530.0,13555.0,13500.0,2874
110,2018-04-25 21:00:00,13540.0,13490.0,13540.0,13470.0,4280
111,2018-04-25 22:00:00,13485.0,13430.0,13550.0,13400.0,5102
112,2018-04-26 09:00:00,13445.0,13430.0,13495.0,13405.0,6348
113,2018-04-26 10:00:00,13430.0,13430.0,13460.0,13370.0,4714
114,2018-04-26 11:00:00,13425.0,13430.0,13440.0,13410.0,1204
115,2018-04-26 13:00:00,13425.0,13420.0,13440.0,13385.0,2326
116,2018-04-26 14:00:00,13420.0,13440.0,13475.0,13405.0,7760
117,2018-04-26 21:00:00,13445.0,13440.0,13480.0,13410.0,5470
118,2018-04-26 22:00:00,13445.0,13445.0,13445.0,13395.0,2988
119,2018-04-27 09:00:00,13445.0,13340.0,13445.0,13330.0,6842
120,2018-04-27 10:00:00,13340.0,13265.0,13375.0,13260.0,5176
121,2018-04-27 11:00:00,13265.0,13230.0,13290.0,13205.0,3640
122,2018-04-27 13:00:00,13230.0,13165.0,13235.0,13150.0,4818
123,2018-04-27 14:00:00,13160.0,13280.0,13305.0,13160.0,7954
