time,cash,RB10
2018-04-02 09:00:00,500000.0,0.0
2018-04-02 09:00:01,500000.0,0.0
2018-04-02 09:00:01,500000.0,0.0
2018-04-02 09:00:02,500000.0,0.0
2018-04-02 09:00:02,500000.0,0.0
2018-04-02 09:00:03,500000.0,0.0
2018-04-02 09:00:07,500000.0,0.0
2018-04-02 09:00:07,500000.0,0.0
2018-04-02 09:00:08,500000.0,0.0
2018-04-02 09:00:09,500000.0,0.0
2018-04-02 09:00:10,500000.0,0.0
2018-04-02 09:00:10,500000.0,0.0
2018-04-02 09:00:12,500000.0,0.0
2018-04-02 09:00:16,500000.0,0.0
2018-04-02 09:00:17,500000.0,0.0
2018-04-02 09:00:20,500000.0,0.0
2018-04-02 09:00:26,500000.0,0.0
2018-04-02 09:00:30,500000.0,0.0
2018-04-02 09:00:32,500000.0,0.0
2018-04-02 09:00:37,500000.0,0.0
2018-04-02 09:00:39,500000.0,0.0
2018-04-02 09:00:39,500000.0,0.0
2018-04-02 09:00:41,500000.0,0.0
2018-04-02 09:00:46,500000.0,0.0
2018-04-02 09:00:49,500000.0,0.0
2018-04-02 09:00:55,500000.0,0.0
2018-04-02 09:00:59,500000.0,0.0
2018-04-02 09:01:01,500000.0,0.0
2018-04-02 09:01:02,500000.0,0.0
2018-04-02 09:01:03,500000.0,0.0
2018-04-02 09:01:04,500000.0,0.0
2018-04-02 09:01:05,500000.0,0.0
2018-04-02 09:01:05,500000.0,0.0
2018-04-02 09:01:06,500000.0,0.0
2018-04-02 09:01:15,500000.0,0.0
2018-04-02 09:01:16,500000.0,0.0
2018-04-02 09:01:16,500000.0,0.0
2018-04-02 09:01:17,500000.0,0.0
2018-04-02 09:01:21,500000.0,0.0
2018-04-02 09:01:22,500000.0,0.0
2018-04-02 09:01:28,500000.0,0.0
2018-04-02 09:01:29,500000.0,0.0
2018-04-02 09:01:33,500000.0,0.0
2018-04-02 09:01:33,500000.0,0.0
2018-04-02 09:01:36,500000.0,0.0
2018-04-02 09:01:49,500000.0,0.0
2018-04-02 09:01:52,500000.0,0.0
2018-04-02 09:01:55,500000.0,0.0
2018-04-02 09:01:56,500000.0,0.0
2018-04-02 09:01:57,500000.0,0.0
2018-04-02 09:02:02,500000.0,0.0
2018-04-02 09:02:03,500000.0,0.0
2018-04-02 09:02:09,500000.0,0.0
2018-04-02 09:02:12,500000.0,0.0
2018-04-02 09:02:12,500000.0,0.0
2018-04-02 09:02:18,500000.0,0.0
2018-04-02 09:02:26,500000.0,0.0
2018-04-02 09:02:34,500000.0,0.0
2018-04-02 09:02:36,500000.0,0.0
2018-04-02 09:02:36,500000.0,0.0
2018-04-02 09:02:49,500000.0,0.0
2018-04-02 09:02:50,500000.0,0.0
2018-04-02 09:02:52,500000.0,0.0
2018-04-02 09:02:55,500000.0,0.0
2018-04-02 09:02:56,500000.0,0.0
2018-04-02 09:02:56,500000.0,0.0
2018-04-02 09:02:57,500000.0,0.0
2018-04-02 09:02:58,500000.0,0.0
2018-04-02 09:03:02,500000.0,0.0
2018-04-02 09:03:06,500000.0,0.0
2018-04-02 09:03:11,500000.0,0.0
2018-04-02 09:03:12,500000.0,0.0
2018-04-02 09:03:15,500000.0,0.0
2018-04-02 09:03:15,500000.0,0.0
2018-04-02 09:03:17,500000.0,0.0
2018-04-02 09:03:21,500000.0,0.0
2018-04-02 09:03:22,500000.0,0.0
2018-04-02 09:03:27,500000.0,0.0
2018-04-02 09:03:28,500000.0,0.0
2018-04-02 09:03:35,500000.0,0.0
2018-04-02 09:03:35,500000.0,0.0
2018-04-02 09:03:36,500000.0,0.0
2018-04-02 09:03:38,500000.0,0.0
2018-04-02 09:03:44,500000.0,0.0
2018-04-02 09:03:47,500000.0,0.0
2018-04-02 09:03:58,500000.0,0.0
2018-04-02 09:04:00,500000.0,0.0
2018-04-02 09:04:01,500000.0,0.0
2018-04-02 09:04:01,500000.0,0.0
2018-04-02 09:04:05,500000.0,0.0
2018-04-02 09:04:06,500000.0,0.0
2018-04-02 09:04:06,500000.0,0.0
2018-04-02 09:04:08,500000.0,0.0
2018-04-02 09:04:09,500000.0,0.0
2018-04-02 09:04:13,500000.0,0.0
2018-04-02 09:04:19,500000.0,0.0
2018-04-02 09:04:21,500000.0,0.0
2018-04-02 09:04:22,500000.0,0.0
2018-04-02 09:04:23,500000.0,0.0
2018-04-02 09:04:23,500000.0,0.0
2018-04-02 09:04:26,500000.0,0.0
2018-04-02 09:04:27,500000.0,0.0
2018-04-02 09:04:28,500000.0,0.0
2018-04-02 09:04:31,500000.0,0.0
2018-04-02 09:04:32,500000.0,0.0
2018-04-02 09:04:32,500000.0,0.0
2018-04-02 09:04:44,500000.0,0.0
2018-04-02 09:04:46,500000.0,0.0
2018-04-02 09:04:48,500000.0,0.0
2018-04-02 09:04:48,500000.0,0.0
2018-04-02 09:04:49,500000.0,0.0
2018-04-02 09:04:49,500000.0,0.0
2018-04-02 09:04:50,500000.0,0.0
2018-04-02 09:04:54,500000.0,0.0
2018-04-02 09:05:02,500000.0,0.0
2018-04-02 09:05:09,500000.0,0.0
2018-04-02 09:05:12,500000.0,0.0
2018-04-02 09:05:15,500000.0,0.0
2018-04-02 09:05:16,500000.0,0.0
2018-04-02 09:05:16,500000.0,0.0
2018-04-02 09:05:17,500000.0,0.0
2018-04-02 09:05:18,500000.0,0.0
2018-04-02 09:05:22,500000.0,0.0
2018-04-02 09:05:25,500000.0,0.0
2018-04-02 09:05:25,500000.0,0.0
2018-04-02 09:05:27,500000.0,0.0
2018-04-02 09:05:34,500000.0,0.0
2018-04-02 09:05:34,500000.0,0.0
